timestep,reward
92.0,360.4553120136261
93.0,368.0438449382782
94.0,374.68381118774414
95.0,381.3237774968147
96.0,387.9637438058853
97.0,394.6037101149559
98.0,400.295109808445
99.0,405.98650950193405
100.0,414.523608982563
101.0,422.1121419072151
102.0,431.59780794382095
103.0,441.0834739804268
104.0,451.5177065730095
105.0,461.0033726096153
106.0,468.59190541505814
107.0,478.07757145166397
108.0,485.66610437631607
109.0,493.25463730096817
110.0,499.89460361003876
111.0,507.48313653469086
112.0,516.0202360153198
113.0,525.5059020519257
114.0,535.9401346445084
115.0,547.3229337930679
116.0,559.6542996168137
117.0,571.0370987653732
118.0,582.4198979139328
119.0,593.8026970624924
120.0,604.2369296550751
121.0,614.6711622476578
122.0,624.1568282842636
123.0,633.6424943208694
124.0,643.1281603574753
125.0,651.6652598381042
126.0,660.2023593187332
127.0,668.7394587993622
128.0,674.4308584928513
129.0,682.0193914175034
130.0,688.659357726574
131.0,694.350757420063
132.0,700.0421571135521
133.0,704.7849901914597
134.0,708.5792566537857
135.0,713.3220897316933
136.0,718.0649228096008
137.0,721.8591892719269
138.0,726.6020223498344
139.0,731.344855427742
140.0,735.139121890068
141.0,739.8819549679756
142.0,738.9333883523941
143.0,736.0876885056496
144.0,734.1905552744865
145.0,735.139121890068
146.0,736.0876885056496
147.0,738.9333883523941
148.0,742.7276548147202
149.0,747.4704878926277
150.0,753.1618875861168
151.0,759.8018538951874
152.0,767.3903868198395
153.0,773.0817865133286
154.0,778.7731862068176
155.0,782.5674526691437
156.0,786.3617191314697
157.0,789.2074189782143
158.0,792.0531188249588
159.0,793.0016854405403
160.0,793.9502520561218
161.0,793.9502520561218
162.0,794.8988186717033
163.0,795.8473852872849
164.0,795.8473852872849
165.0,795.8473852872849
166.0,789.2074190378189
167.0,782.5674527287483
168.0,777.8246196508408
169.0,774.9789198040962
170.0,774.0303531885147
171.0,774.0303531885147
172.0,773.0817865729332
173.0,774.0303531885147
174.0,775.9274864196777
175.0,778.7731862664223
176.0,783.5160193443298
177.0,788.2588524222374
178.0,792.0531188845634
179.0,795.8473853468895
180.0,797.7445185780525
181.0,792.0531188845634
182.0,785.4131525754929
183.0,779.7217528820038
184.0,774.9789198040962
185.0,770.2360867261887
186.0,766.4418202638626
187.0,762.6475538015366
188.0,757.904720723629
189.0,754.110454261303
190.0,750.3161877989769
191.0,746.5219213366508
192.0,742.7276548743248
193.0,739.8819550275803
194.0,737.0362551808357
195.0,734.1905553340912
196.0,733.2419887185097
197.0,732.2934221029282
198.0,733.2419887185097
199.0,733.2419887185097
200.0,734.1905553340912
201.0,736.0876885652542
202.0,737.0362551808357
203.0,737.9848217964172
204.0,737.9848217964172
205.0,732.2934221029282
206.0,725.6534557938576
207.0,720.91062271595
208.0,718.0649228692055
209.0,716.1677896380424
210.0,716.1677896380424
211.0,717.116356253624
212.0,719.9620561003685
213.0,723.7563225626945
